iter	Passed	Remaining
0	162	162688
1	167	83427
2	171	57039
3	175	43785
4	180	35945
5	185	30698
6	190	26954
7	195	24272
8	200	22064
9	204	20281
10	209	18830
11	213	17595
12	218	16587
13	222	15669
14	226	14846
15	230	14149
16	234	13556
17	237	12977
18	241	12476
19	245	12018
20	249	11625
21	253	11273
22	257	10937
23	261	10623
24	265	10348
25	269	10111
26	273	9856
27	277	9631
28	281	9423
29	285	9221
30	288	9028
31	292	8858
32	297	8708
33	301	8561
34	305	8425
35	309	8277
36	313	8154
37	317	8038
38	321	7922
39	325	7800
40	328	7687
41	332	7580
42	336	7479
43	339	7384
44	343	7288
45	347	7207
46	350	7116
47	354	7028
48	357	6943
49	361	6867
50	364	6790
51	369	6740
52	373	6669
53	377	6605
54	381	6546
55	387	6530
56	392	6494
57	398	6478
58	402	6419
59	406	6368
60	411	6331
61	414	6277
62	418	6223
63	422	6184
64	426	6139
65	430	6095
66	434	6050
67	440	6040
68	444	5993
69	447	5950
70	451	5910
71	455	5874
72	460	5843
73	464	5806
74	468	5774
75	471	5735
76	475	5695
77	478	5656
78	482	5623
79	486	5594
80	490	5564
81	493	5529
82	497	5497
83	501	5469
84	505	5436
85	508	5404
86	512	5383
87	516	5356
88	520	5325
89	523	5297
90	527	5270
91	531	5245
92	535	5220
93	538	5192
94	542	5167
95	546	5142
96	549	5118
97	553	5093
98	557	5069
99	560	5046
100	564	5024
101	568	5003
102	571	4981
103	575	4957
104	579	4938
105	583	4919
106	587	4899
107	590	4877
108	594	4860
109	598	4843
110	603	4831
111	606	4811
112	610	4791
113	614	4772
114	617	4755
115	621	4737
116	625	4719
117	629	4706
118	634	4693
119	638	4679
120	641	4661
121	646	4649
122	650	4636
123	653	4619
124	657	4605
125	662	4592
126	665	4576
127	669	4560
128	673	4547
129	678	4539
130	681	4523
131	685	4509
132	689	4494
133	693	4483
134	697	4472
135	701	4457
136	705	4444
137	709	4431
138	713	4418
139	716	4403
140	720	4391
141	725	4380
142	728	4367
143	732	4353
144	735	4339
145	739	4327
146	743	4312
147	746	4299
148	750	4287
149	754	4274
150	757	4261
151	761	4247
152	764	4234
153	768	4224
154	772	4213
155	776	4200
156	780	4189
157	785	4185
158	790	4178
159	794	4172
160	798	4162
161	803	4154
162	807	4145
163	811	4135
164	815	4125
165	820	4120
166	823	4109
167	827	4097
168	830	4085
169	834	4075
170	838	4063
171	842	4053
172	845	4042
173	849	4031
174	852	4020
175	856	4010
176	859	3998
177	863	3986
178	867	3979
179	871	3969
180	874	3958
181	878	3947
182	882	3939
183	886	3932
184	890	3924
185	894	3913
186	898	3905
187	902	3900
188	906	3890
189	910	3880
190	914	3871
191	918	3866
192	922	3857
193	926	3849
194	931	3843
195	934	3834
196	938	3825
197	941	3815
198	946	3810
199	950	3803
200	954	3793
201	958	3784
202	962	3778
203	966	3772
204	970	3763
205	974	3754
206	979	3750
207	983	3744
208	987	3737
209	991	3728
210	995	3723
211	1000	3717
212	1003	3707
213	1007	3702
214	1013	3701
215	1018	3695
216	1023	3691
217	1027	3686
218	1031	3680
219	1036	3673
220	1040	3666
221	1044	3660
222	1048	3651
223	1051	3643
224	1055	3635
225	1059	3629
226	1063	3620
227	1066	3612
228	1070	3604
229	1074	3598
230	1078	3589
231	1082	3583
232	1086	3575
233	1090	3569
234	1094	3561
235	1098	3556
236	1102	3550
237	1107	3544
238	1111	3539
239	1115	3531
240	1119	3524
241	1123	3519
242	1127	3513
243	1131	3505
244	1135	3498
245	1139	3492
246	1143	3484
247	1146	3477
248	1150	3468
249	1154	3463
250	1159	3459
251	1163	3453
252	1168	3449
253	1172	3443
254	1176	3437
255	1180	3429
256	1184	3423
257	1188	3418
258	1192	3412
259	1196	3404
260	1200	3399
261	1205	3394
262	1208	3387
263	1212	3378
264	1216	3373
265	1220	3366
266	1223	3359
267	1227	3352
268	1231	3346
269	1235	3339
270	1238	3332
271	1242	3324
272	1245	3317
273	1250	3312
274	1253	3305
275	1257	3298
276	1260	3290
277	1265	3286
278	1269	3279
279	1272	3272
280	1275	3264
281	1280	3259
282	1283	3252
283	1287	3245
284	1290	3238
285	1294	3232
286	1299	3227
287	1302	3220
288	1306	3213
289	1310	3207
290	1314	3202
291	1317	3195
292	1321	3188
293	1325	3183
294	1329	3178
295	1333	3171
296	1336	3164
297	1340	3158
298	1344	3153
299	1348	3147
300	1352	3140
301	1356	3134
302	1360	3130
303	1364	3124
304	1368	3118
305	1371	3111
306	1376	3107
307	1380	3100
308	1383	3094
309	1387	3088
310	1391	3083
311	1395	3076
312	1399	3071
313	1402	3065
314	1407	3060
315	1411	3055
316	1415	3050
317	1419	3044
318	1424	3041
319	1428	3035
320	1432	3029
321	1435	3023
322	1440	3019
323	1444	3012
324	1448	3007
